Date,Ticker,Sector,Open,High,Low,Close,Volume,Market_Cap_B,PE_Ratio,Dividend_Yield,Beta
2022-02-11,AAPL,Technology,138.57,138.85,137.19,138.26,3089083.6499967915,157.57,14.9,3.533,0.75
2022-02-14,AAPL,Technology,136.28,138.56,135.02,136.87,3390815.2709492645,146.02,34.8,2.492,1.1
2022-02-15,AAPL,Technology,141.84,142.34,140.65,141.54,1555918.2651585569,163.86,14.85,0.496,1.34
2022-02-16,AAPL,Technology,141.68,143.21,140.15,141.62,1978973.226341054,386.71,11.21,1.13,0.29
2022-02-17,AAPL,Technology,138.46,139.34,138.72,,1330135.020223165,218.61,10.95,2.26,2.12
2022-02-18,AAPL,Technology,141.15,142.1,140.11,141.21,6481554.196961755,123.48,22.99,1.218,0.3
2022-02-21,AAPL,Technology,138.2,139.51,137.13,138.22,748665.1806391935,348.43,28.79,3.018,0.91
2022-02-22,AAPL,Technology,138.38,139.86,137.72,138.85,7330199.132849425,175.56,32.37,0.94,1.45
2022-02-23,AAPL,Technology,134.66,136.03,132.17,134.06,8627320.930587318,359.73,11.37,3.828,1.61
2022-02-24,AAPL,Technology,131.42,131.93,130.09,130.96,2645772.3623867556,236.77,26.59,1.062,2.24
2022-02-25,AAPL,Technology,131.76,132.7,130.22,131.53,528503.1468191106,197.59,35.07,2.75,0.64
2022-02-28,AAPL,Technology,133.34,135.91,130.99,133.39,2538496.682825696,135.98,26.57,2.176,0.45
2022-03-01,AAPL,Technology,133.79,134.66,133.24,133.91,3125394.5434829434,161.98,16.9,3.666,1.04
2022-03-02,AAPL,Technology,133.94,134.46,133.1,133.73,1611347.3430872771,186.85,9.57,3.246,1.54
2022-03-03,AAPL,Technology,133.18,135.13,130.96,133.12,2279227.492260014,332.28,19.67,0.422,0.77
2022-03-04,AAPL,Technology,129.11,131.91,128.23,129.68,9541265.04760817,138.54,21.81,0.0,0.52
2022-03-07,AAPL,Technology,128.12,129.03,127.51,128.1,5206659.376836066,105.83,19.47,0.286,1.42
2022-03-08,AAPL,Technology,127.53,127.94,126.64,127.14,1711370.5863683207,212.52,29.46,1.764,1.22
2022-03-09,AAPL,Technology,129.61,130.42,128.62,129.66,,76.23,25.91,3.18,1.25
2022-03-10,AAPL,Technology,129.98,130.95,130.19,130.57,2600171.2798132095,70.93,31.04,1.688,1.03
2022-03-11,AAPL,Technology,126.89,126.96,125.97,126.53,2815302.4454863328,66.75,21.93,0.134,0.99
2022-03-14,AAPL,Technology,126.99,127.87,126.82,127.37,4626630.610173643,275.26,15.1,2.171,1.04
2022-03-15,AAPL,Technology,126.28,127.12,126.14,126.59,2247385.9554720186,108.5,29.77,2.374,1.37
2022-03-16,AAPL,Technology,124.73,126.17,124.25,125.15,4676449.39070711,262.59,25.58,2.299,1.03
2022-03-17,AAPL,Technology,126.41,127.5,125.67,126.63,12668229.817358693,299.98,29.94,1.558,0.69
2022-03-18,AAPL,Technology,129.41,130.44,127.82,129.08,5785415.361140374,254.07,18.63,0.992,1.07
2022-03-21,AAPL,Technology,131.37,131.98,130.86,131.34,3160807.3545236746,86.42,28.81,3.441,1.72
2022-03-22,AAPL,Technology,129.08,130.53,127.61,129.47,2875665.46139475,85.61,22.34,2.046,1.47
2022-03-23,AAPL,Technology,129.34,129.71,128.25,128.85,2546750.5389478197,261.15,43.82,0.416,0.7
2022-03-24,AAPL,Technology,130.21,130.49,128.9,129.72,7470321.826540385,230.69,32.0,2.005,1.42
2022-03-25,AAPL,Technology,132.59,133.02,131.03,132.1,2107221.02545767,111.72,8.4,3.313,0.25
2022-03-28,AAPL,Technology,130.73,131.37,130.71,152.63,3374156.4027360105,261.77,16.55,0.0,1.18
2022-03-29,AAPL,Technology,130.67,131.65,129.25,130.73,3388298.823131744,199.47,30.74,0.527,0.96
2022-03-30,AAPL,Technology,128.86,129.53,127.22,128.24,2300762.309806574,98.28,13.16,2.54,0.95
2022-03-31,AAPL,Technology,125.92,126.58,124.43,125.58,1250775.2493085503,93.77,19.38,3.73,1.56
2022-04-01,AAPL,Technology,126.91,128.94,126.23,127.51,4098297.2991747926,180.19,33.7,1.715,1.2
2022-04-04,AAPL,Technology,130.16,133.03,129.05,130.73,3132359.836130753,124.08,32.09,2.762,1.33
2022-04-05,AAPL,Technology,130.62,131.3,130.0,130.66,4639737.403861633,231.5,22.43,0.697,1.16
2022-04-06,AAPL,Technology,133.67,133.9,132.43,133.13,2250087.7771640946,335.96,27.25,2.404,1.43
2022-04-07,AAPL,Technology,134.15,134.8,133.36,134.1,7683416.854926856,145.54,22.23,0.646,1.4
2022-04-08,AAPL,Technology,132.65,133.49,131.69,132.65,1769589.8475535403,194.87,18.37,2.056,1.02
2022-04-11,AAPL,Technology,133.09,134.2,132.82,133.62,10836473.723707588,188.18,15.09,1.211,0.61
2022-04-12,AAPL,Technology,137.64,138.91,135.9,137.43,961889.1007531404,269.91,29.86,3.412,1.37
2022-04-13,AAPL,Technology,137.89,139.67,135.3,137.45,4431900.448561551,324.81,5.42,1.713,0.9
2022-04-14,AAPL,Technology,141.26,142.41,140.84,141.43,4559855.433319654,250.16,29.04,2.777,0.98
2022-04-15,AAPL,Technology,135.25,135.62,134.47,134.87,1873108.770169554,213.07,34.38,0.385,0.75
2022-04-18,AAPL,Technology,137.61,138.18,135.96,136.98,4399826.896907732,242.51,23.84,0.0,1.67
2022-04-19,AAPL,Technology,136.89,138.19,136.63,137.3,8005689.775892006,146.28,23.62,1.788,0.82
2022-04-20,AAPL,Technology,136.7,138.0,135.31,136.67,692613.0913037974,312.68,16.99,0.129,0.66
2022-04-21,AAPL,Technology,136.72,138.14,135.79,137.01,4647878.166964345,120.67,18.05,0.0,0.75
2022-04-22,AAPL,Technology,132.6,132.41,131.91,132.21,570752.2038851233,174.72,31.83,1.279,0.37
2022-04-25,AAPL,Technology,131.9,133.66,130.03,131.8,1662835.1705426374,125.42,37.08,1.341,1.13
2022-04-26,AAPL,Technology,132.93,134.24,130.86,132.75,10225717.774563141,349.95,15.64,4.045,1.01
2022-04-27,AAPL,Technology,136.79,137.02,135.89,136.39,2175464.0947188935,242.32,32.08,1.396,1.06
2022-04-28,AAPL,Technology,135.08,136.24,134.66,135.22,1437310.2240893827,105.35,35.05,1.724,1.0
2022-04-29,AAPL,Technology,133.92,134.29,132.18,133.37,2846052.742784945,243.19,38.02,1.255,1.24
2022-05-02,AAPL,Technology,132.31,133.09,131.16,132.27,13901877.163470514,318.38,29.84,0.687,1.6
2022-05-03,AAPL,Technology,134.09,135.51,132.91,134.55,906931.7035291336,159.47,18.04,2.957,0.61
2022-05-04,AAPL,Technology,135.72,138.09,133.88,167.85,1566075.0230934774,323.42,34.19,1.938,1.91
2022-05-05,AAPL,Technology,134.67,135.2,133.65,134.27,9324931.5056236,100.33,24.39,1.806,1.22
2022-05-06,AAPL,Technology,135.37,136.2,135.03,135.62,11999693.19661174,365.45,19.79,3.917,1.35
2022-05-09,AAPL,Technology,136.45,136.35,135.71,135.97,3040699.49209062,197.91,29.86,0.342,1.25
2022-05-10,AAPL,Technology,139.01,139.25,137.99,138.45,1373212.0398112868,246.29,29.21,0.759,1.07
2022-05-11,AAPL,Technology,136.5,137.7,135.65,136.81,14176418.190221267,263.13,32.99,0.748,1.42
2022-05-12,AAPL,Technology,136.77,138.3,134.67,136.11,9980159.94013075,251.01,8.76,2.279,0.96
2022-05-13,AAPL,Technology,134.77,136.15,134.45,135.26,5258008.450462477,117.34,16.66,2.405,1.5
2022-05-16,AAPL,Technology,131.41,133.02,130.86,131.8,1851151.351699794,277.2,21.34,0.0,0.82
2022-05-17,AAPL,Technology,132.19,133.37,131.84,132.61,3158726.384416732,190.66,5.9,1.619,1.01
2022-05-18,AAPL,Technology,133.87,135.33,131.87,133.34,2921909.6297108876,297.12,30.25,0.374,1.02
2022-05-19,AAPL,Technology,133.67,135.78,130.74,133.46,4120956.7417189484,91.96,36.94,2.711,0.91
2022-05-20,AAPL,Technology,132.54,133.63,132.32,133.0,9026732.465454452,122.19,28.25,0.0,0.6
2022-05-23,AAPL,Technology,129.64,130.42,128.86,129.72,6050139.749288416,107.82,22.83,3.973,0.75
2022-05-24,AAPL,Technology,128.99,129.86,127.74,128.84,1537759.0405204182,169.33,32.59,2.764,1.07
2022-05-25,AAPL,Technology,127.62,129.12,126.63,128.15,8568022.481638577,76.98,17.95,2.912,1.24
2022-05-26,AAPL,Technology,126.89,128.55,124.9,126.4,4070158.491288906,173.41,25.24,0.47,1.3
2022-05-27,AAPL,Technology,126.52,126.95,124.77,126.14,5287975.657211159,345.7,13.59,0.0,1.45
2022-05-30,AAPL,Technology,127.16,127.89,126.34,127.15,9125457.576039769,138.71,26.5,0.202,1.75
2022-05-31,AAPL,Technology,132.19,132.87,129.93,131.57,1501377.8713579944,187.07,14.62,3.365,1.5
2022-06-01,AAPL,Technology,131.98,133.17,130.67,132.09,3188056.6704338756,99.49,18.33,0.126,1.42
2022-06-02,AAPL,Technology,133.45,134.66,131.81,132.81,2253470.012730143,71.55,24.91,0.134,1.4
2022-06-03,AAPL,Technology,132.96,133.76,131.89,132.74,1090883.4191641842,169.15,15.2,2.018,1.41
2022-06-06,AAPL,Technology,128.43,129.54,126.46,128.26,4166958.638225145,192.97,23.42,1.113,1.4
2022-06-07,AAPL,Technology,127.87,129.63,126.75,128.3,18964693.774692435,209.84,11.28,1.002,1.36
2022-06-08,AAPL,Technology,129.03,129.88,126.61,128.54,901617.434532431,254.14,18.94,1.505,1.51
2022-06-09,AAPL,Technology,134.25,135.24,133.25,134.35,3195977.5846036347,334.28,27.44,1.311,0.66
2022-06-10,AAPL,Technology,133.54,135.05,133.16,133.99,5118541.302419963,344.83,19.53,0.0,0.99
2022-06-13,AAPL,Technology,134.17,136.25,134.08,134.82,3563147.142721956,366.66,8.08,4.108,0.4
2022-06-14,AAPL,Technology,134.93,136.17,132.73,134.85,3020129.7839301857,203.61,19.36,1.467,0.9
2022-06-15,AAPL,Technology,132.15,132.77,131.47,132.12,1316580.6876893493,275.4,8.29,0.0,0.86
2022-06-16,AAPL,Technology,135.24,136.33,133.4,134.94,3847563.774237464,198.4,23.13,1.397,0.97
2022-06-17,AAPL,Technology,137.41,137.89,136.18,136.87,1924670.2572356563,75.09,22.12,1.29,1.11
2022-06-20,AAPL,Technology,137.67,139.25,137.12,138.25,705777.1439487695,158.23,14.04,0.0,1.37
2022-06-21,AAPL,Technology,135.72,136.85,133.54,135.41,7543633.755718633,163.5,42.02,3.455,1.05
2022-06-22,AAPL,Technology,137.82,139.26,137.26,138.26,6393996.581049232,225.47,21.38,1.276,1.46
2022-06-23,AAPL,Technology,134.67,135.36,132.92,134.19,3389397.326626537,286.56,18.13,1.323,0.31
2022-06-24,AAPL,Technology,135.47,135.43,134.62,135.04,3837579.095014922,291.72,25.95,1.535,0.75
2022-06-27,AAPL,Technology,139.85,140.93,137.99,139.8,6934521.481882469,106.63,27.52,0.453,1.29
2022-06-28,AAPL,Technology,137.01,137.96,135.15,136.72,3824880.4113392155,337.58,13.16,0.053,1.21
2022-06-29,AAPL,Technology,134.5,137.42,132.96,134.75,6155227.5590633545,233.07,18.94,1.991,1.65
2022-06-30,AAPL,Technology,134.39,135.45,133.7,134.43,2654488.2893870245,94.92,11.65,1.399,1.23
2022-07-01,AAPL,Technology,133.07,134.1,131.2,132.64,8189706.485262498,250.07,23.57,3.4,1.17
2022-07-04,AAPL,Technology,128.33,129.65,127.65,128.38,4092022.9238542356,65.82,27.37,2.915,2.12
2022-07-05,AAPL,Technology,127.82,129.6,126.04,128.0,3744641.1922267526,78.85,13.95,3.245,1.67
2022-07-06,AAPL,Technology,125.01,125.96,124.0,125.02,1343726.4402961968,341.05,15.45,1.513,1.52
2022-07-07,AAPL,Technology,125.97,126.75,124.4,125.56,3996258.4666840457,137.88,11.57,2.495,0.87
2022-07-08,AAPL,Technology,122.75,123.82,121.36,122.95,1825987.615410336,241.09,5.92,1.613,0.73
2022-07-11,AAPL,Technology,125.46,126.93,124.96,125.87,2091102.6978452005,294.86,30.04,0.0,1.09
2022-07-12,AAPL,Technology,123.83,124.38,122.92,123.56,1847302.565221651,250.53,14.38,1.886,0.77
2022-07-13,AAPL,Technology,122.73,123.11,121.6,122.33,1549798.6041865186,337.92,29.47,0.884,1.52
2022-07-14,AAPL,Technology,123.11,125.3,122.24,123.61,14466410.199668624,311.41,15.89,1.17,1.14
2022-07-15,AAPL,Technology,120.03,120.81,119.98,120.35,8301421.667929461,197.4,24.52,0.0,0.72
2022-07-18,AAPL,Technology,119.9,121.59,119.47,120.34,12537782.601552472,355.42,18.77,0.544,-0.05
2022-07-19,AAPL,Technology,122.47,123.08,121.93,122.66,1388831.7530846908,205.88,6.89,1.149,0.99
2022-07-20,AAPL,Technology,118.54,119.8,116.76,118.6,3436202.9459504373,134.84,28.37,2.455,1.16
2022-07-21,AAPL,Technology,118.79,118.72,118.33,118.49,1321852.4240751911,137.17,22.96,1.271,0.49
2022-07-22,AAPL,Technology,118.73,119.1,117.96,118.55,2008730.69586102,137.84,28.29,3.125,1.0
2022-07-25,AAPL,Technology,119.86,120.94,118.35,119.72,1719099.40790564,206.72,25.93,3.348,0.95
2022-07-26,AAPL,Technology,116.38,118.38,115.45,116.55,7784995.650201416,180.75,25.14,2.093,1.28
2022-07-27,AAPL,Technology,113.68,113.9,112.69,113.29,2477199.448284828,180.89,22.36,2.097,1.12
2022-07-28,AAPL,Technology,113.85,114.5,113.4,113.88,6905753.989552587,129.59,23.17,2.856,0.34
2022-07-29,AAPL,Technology,114.56,115.68,112.25,135.8,4989691.402914153,217.07,28.7,2.227,0.97
2022-08-01,AAPL,Technology,114.77,114.83,114.43,114.62,16395986.323560819,162.71,25.48,0.547,1.3
2022-08-02,AAPL,Technology,114.99,115.53,115.31,115.42,1160531.959572074,337.07,16.69,3.439,1.43
2022-08-03,AAPL,Technology,114.3,115.37,113.1,114.1,7892813.878626067,292.52,21.75,0.677,0.59
2022-08-04,AAPL,Technology,114.47,115.4,114.03,114.67,7293605.83508422,149.77,23.09,2.975,1.01
2022-08-05,AAPL,Technology,115.58,115.85,115.02,115.37,1653880.3520083004,325.74,11.36,3.451,0.84
2022-08-08,AAPL,Technology,113.49,115.1,112.84,113.98,6615945.880319496,289.78,30.66,0.0,0.74
2022-08-09,AAPL,Technology,117.51,119.17,116.8,117.89,4136255.525621726,278.49,6.1,0.0,0.78
2022-08-10,AAPL,Technology,119.42,119.72,118.25,118.99,2787809.2157981596,286.66,37.12,1.59,1.51
2022-08-11,AAPL,Technology,116.22,116.9,116.17,116.54,1836266.8066293302,298.58,22.61,2.247,1.22
2022-08-12,AAPL,Technology,118.41,119.59,116.67,118.01,1976075.5373943083,220.5,21.2,1.72,0.88
2022-08-15,AAPL,Technology,115.78,117.01,114.57,116.03,13726906.832646223,228.49,24.34,2.406,1.21
2022-08-16,AAPL,Technology,117.94,118.78,116.75,117.77,3270580.248872913,294.9,21.3,0.0,1.46
2022-08-17,AAPL,Technology,120.55,121.7,118.29,120.32,5651835.97164966,172.52,17.74,1.754,1.45
2022-08-18,AAPL,Technology,118.65,119.01,118.35,118.64,1879225.78375152,201.69,14.08,0.186,0.98
2022-08-19,AAPL,Technology,120.56,120.98,120.65,120.79,1893813.232241426,193.82,15.95,2.541,1.13
2022-08-22,AAPL,Technology,121.43,122.57,121.3,121.78,6971837.420802101,97.4,24.76,2.467,0.94
2022-08-23,AAPL,Technology,123.11,124.81,122.68,123.68,1270977.2515180893,133.75,10.07,3.48,1.33
2022-08-24,AAPL,Technology,127.76,129.23,126.99,128.01,2444498.047983127,301.72,17.71,0.082,1.39
2022-08-25,AAPL,Technology,127.74,128.51,126.76,127.54,3347817.46250481,94.97,33.95,4.043,1.11
2022-08-26,AAPL,Technology,126.47,127.07,124.52,125.91,3534070.2899314035,324.13,12.73,0.378,0.35
2022-08-29,AAPL,Technology,124.46,124.45,123.56,124.0,2883844.0464421255,101.74,24.34,0.393,1.54
2022-08-30,AAPL,Technology,122.6,123.85,120.27,122.28,4312696.251011073,231.31,27.55,1.769,0.89
2022-08-31,AAPL,Technology,122.56,123.01,121.44,122.21,5309451.164752007,114.9,29.9,2.747,0.79
2022-09-01,AAPL,Technology,123.26,124.17,121.43,123.05,5467031.183552942,262.96,14.83,0.016,0.92
2022-09-02,AAPL,Technology,123.47,125.06,122.84,123.77,1639558.1355130807,288.27,23.02,1.352,0.71
2022-09-05,AAPL,Technology,126.22,127.05,124.79,125.71,2679367.8061971534,280.98,22.29,0.0,1.17
2022-09-06,AAPL,Technology,126.05,126.96,124.88,125.84,7544534.888700592,195.85,13.61,0.429,0.93
2022-09-07,AAPL,Technology,129.31,130.04,128.17,129.23,6114985.96118872,145.7,13.63,2.875,1.56
2022-09-08,AAPL,Technology,128.22,130.28,127.5,128.72,1250430.4174426277,225.85,26.43,2.041,1.84
2022-09-09,AAPL,Technology,135.05,136.26,133.06,135.12,4180895.1414496154,163.12,31.97,3.063,0.74
2022-09-12,AAPL,Technology,136.7,138.03,135.91,136.75,818511.1723101133,95.76,24.81,0.006,1.75
2022-09-13,AAPL,Technology,135.24,136.55,133.17,134.75,3378202.872193739,341.13,25.28,0.156,1.53
2022-09-14,AAPL,Technology,132.32,133.17,131.3,132.26,12340991.377184214,273.12,21.16,0.077,2.16
2022-09-15,AAPL,Technology,133.36,134.94,132.04,133.52,1683650.8152378718,238.05,23.11,0.0,1.08
2022-09-16,AAPL,Technology,133.72,133.84,132.43,133.09,1822963.2021959468,90.23,20.91,0.482,1.2
2022-09-19,AAPL,Technology,134.38,137.23,133.24,134.9,5580678.082305766,170.26,4.31,2.452,1.26
2022-09-20,AAPL,Technology,136.06,137.19,135.1,136.16,1110186.9020653921,169.81,20.36,1.304,0.7
2022-09-21,AAPL,Technology,135.47,136.47,135.81,136.09,2099209.65917313,132.01,38.77,0.366,1.26
2022-09-22,AAPL,Technology,134.45,134.88,133.3,134.13,4962939.658910771,252.93,35.78,1.74,0.71
2022-09-23,AAPL,Technology,131.12,131.22,130.1,130.58,2096961.408704961,125.16,27.58,3.041,0.99
2022-09-26,AAPL,Technology,129.35,131.21,128.21,129.63,2771283.169399664,338.0,31.1,1.577,1.14
2022-09-27,AAPL,Technology,132.21,132.56,130.89,131.73,5503693.648319197,214.3,23.28,2.188,1.28
2022-09-28,AAPL,Technology,132.07,132.95,131.66,132.35,4391064.587394271,317.83,24.8,1.083,1.15
2022-09-29,AAPL,Technology,130.02,129.55,129.42,129.48,3940321.501879176,213.21,21.25,1.462,1.92
2022-09-30,AAPL,Technology,130.32,130.77,129.16,129.99,2578231.8809803426,95.54,21.39,1.736,0.92
2022-10-03,AAPL,Technology,131.4,131.19,130.73,131.0,4235630.6156620765,360.72,22.88,2.784,1.17
2022-10-04,AAPL,Technology,128.4,129.17,128.77,129.02,2997793.643626122,333.65,26.13,2.541,0.71
2022-10-05,AAPL,Technology,130.08,131.14,128.08,129.48,4503943.601924427,164.59,11.98,1.566,0.97
2022-10-06,AAPL,Technology,130.01,130.76,128.22,129.72,2308590.1752067665,291.49,20.24,1.524,0.94
2022-10-07,AAPL,Technology,126.9,128.16,125.69,127.15,2876836.2325888695,291.32,23.69,2.127,0.96
2022-10-10,AAPL,Technology,128.49,128.5,127.61,128.07,1634797.5715739708,324.39,14.85,2.129,0.75
2022-10-11,AAPL,Technology,129.19,130.65,128.63,129.47,3189882.604528594,260.1,16.46,2.834,1.1
2022-10-12,AAPL,Technology,132.59,133.2,131.43,132.1,1852968.2957975823,380.66,23.37,0.0,0.84
2022-10-13,AAPL,Technology,134.19,135.22,134.19,134.71,1498788.2179569318,296.85,27.47,2.113,0.97
2022-10-14,AAPL,Technology,131.74,132.91,129.4,131.47,3917886.089771521,250.29,17.53,0.736,1.33
2022-10-17,AAPL,Technology,129.41,130.87,128.33,129.36,3793948.453636834,313.58,21.94,0.0,1.04
2022-10-18,AAPL,Technology,130.14,131.58,129.75,130.66,5654779.159210722,244.75,28.39,2.339,1.57
2022-10-19,AAPL,Technology,131.64,133.2,131.0,131.98,2417421.66215239,283.02,14.48,2.321,1.45
2022-10-20,AAPL,Technology,132.66,134.71,132.48,133.31,4349785.0705956565,157.98,20.07,2.883,0.8
2022-10-21,AAPL,Technology,142.61,142.67,142.63,142.66,4806877.68126653,369.46,10.32,1.325,0.63
2022-10-24,AAPL,Technology,143.95,145.29,143.47,144.24,4463044.281528653,249.66,25.07,1.955,1.37
2022-10-25,AAPL,Technology,147.44,147.81,146.78,147.3,1834059.588068086,357.86,18.96,3.334,0.9
2022-10-26,AAPL,Technology,149.64,150.53,149.35,149.95,3629314.8344670637,435.35,9.4,1.203,1.16
2022-10-27,AAPL,Technology,151.52,152.67,150.69,151.83,4218112.0620116,115.87,26.85,1.527,2.21
2022-10-28,AAPL,Technology,151.45,152.96,149.6,151.09,3285485.285972125,398.71,8.66,1.751,1.29
2022-10-31,AAPL,Technology,152.58,154.64,151.59,153.27,758778.8465422478,165.93,37.69,3.009,1.22
2022-11-01,AAPL,Technology,151.87,152.14,150.43,151.26,3657691.3833471225,86.43,10.42,3.01,0.78
2022-11-02,AAPL,Technology,151.27,152.03,149.67,150.74,15382971.788222004,204.26,9.6,0.869,1.41
2022-11-03,AAPL,Technology,149.79,151.74,148.05,149.54,2540756.709799563,348.86,33.79,2.546,0.81
2022-11-04,AAPL,Technology,150.02,151.42,148.16,149.88,1963709.8671518017,158.79,8.72,1.475,1.4
2022-11-07,AAPL,Technology,156.86,157.1,155.2,156.24,4245388.919543803,324.38,15.9,3.164,1.48
2022-11-08,AAPL,Technology,150.64,152.03,150.13,151.12,4068011.0290789735,342.15,31.46,0.0,1.01
2022-11-09,AAPL,Technology,152.46,154.43,151.23,153.11,7533833.866262952,161.56,25.12,2.902,1.36
2022-11-10,AAPL,Technology,148.4,150.06,147.02,148.78,1355244.299479742,92.19,21.34,1.633,1.16
2022-11-11,AAPL,Technology,148.07,149.44,146.29,147.64,5454579.978733757,211.98,28.12,0.451,0.74
2022-11-14,AAPL,Technology,149.95,151.97,148.7,150.65,4942073.030180221,371.55,17.64,2.173,1.0
2022-11-15,AAPL,Technology,151.07,152.16,149.3,150.95,2959400.9502369957,392.7,25.49,2.169,1.18
2022-11-16,AAPL,Technology,148.87,148.88,147.41,148.14,4143623.160215959,297.21,23.91,2.269,0.97
2022-11-17,AAPL,Technology,146.87,148.71,145.07,146.35,6720144.646999884,380.73,17.49,1.46,0.91
2022-11-18,AAPL,Technology,148.29,149.59,147.4,148.26,6020138.152969377,417.45,23.17,0.743,1.21
2022-11-21,AAPL,Technology,145.79,148.92,143.9,146.43,1468697.455929516,340.26,32.57,0.162,0.7
2022-11-22,AAPL,Technology,147.6,147.9,146.41,147.11,5804306.678360208,222.92,19.12,1.727,0.72
2022-11-23,AAPL,Technology,147.5,149.0,145.66,147.35,3124291.1283013844,88.76,30.06,1.586,1.16
2022-11-24,AAPL,Technology,145.18,146.88,144.45,145.74,3440102.6485902728,398.59,13.54,0.074,0.86
2022-11-25,AAPL,Technology,150.87,152.38,150.84,151.48,3440880.2859816207,362.03,15.11,1.881,1.89
2022-11-28,AAPL,Technology,153.96,153.97,152.42,153.33,2942675.9365243283,375.28,20.59,3.068,1.22
2022-11-29,AAPL,Technology,148.12,148.66,147.02,147.87,7528416.217519068,372.6,21.24,1.409,0.8
2022-11-30,AAPL,Technology,148.97,149.63,146.84,148.48,3082949.812982977,389.74,25.89,2.392,1.3
2022-12-01,AAPL,Technology,147.39,148.16,145.14,146.83,1493029.3132681716,183.18,31.07,0.043,0.98
2022-12-02,AAPL,Technology,149.31,150.25,148.42,149.2,2481885.4734192835,359.9,31.4,0.871,0.72
2022-12-05,AAPL,Technology,147.22,147.97,146.21,147.19,3704601.678541944,432.12,22.07,1.897,1.12
2022-12-06,AAPL,Technology,146.9,149.32,144.93,147.01,7728693.187350214,180.67,27.97,1.819,1.04
2022-12-07,AAPL,Technology,148.19,150.09,145.96,148.46,4986108.378861018,138.23,33.72,4.02,1.1
2022-12-08,AAPL,Technology,150.79,152.7,149.67,150.89,1802392.135743836,178.16,35.72,1.988,0.65
2022-12-09,AAPL,Technology,148.16,148.59,146.84,147.75,18617879.523621846,339.46,34.85,2.062,0.69
2022-12-12,AAPL,Technology,147.13,148.07,146.14,146.98,3934690.2405360946,243.23,23.79,2.585,0.7
